        697    18       17     1.5967e-03 6.31369e-03
  0.11309E+04 0.30433E-01 0.82978E-04 0.22570E+02 0.15146E+00 0.37006E-01
  0.11318E+04 0.34774E-01 0.94130E-04 0.22933E+02 0.15510E+00 0.37866E-01
  0.11327E+04 0.39733E-01 0.10678E-03 0.23508E+02 0.15921E+00 0.38933E-01
  0.11336E+04 0.45398E-01 0.12111E-03 0.24396E+02 0.16371E+00 0.40255E-01
  0.11345E+04 0.51868E-01 0.13737E-03 0.25565E+02 0.16836E+00 0.41780E-01
  0.11354E+04 0.59260E-01 0.15579E-03 0.26837E+02 0.17282E+00 0.43351E-01
  0.11363E+04 0.67706E-01 0.17669E-03 0.27924E+02 0.17679E+00 0.44750E-01
  0.11372E+04 0.77355E-01 0.20037E-03 0.28558E+02 0.18009E+00 0.45783E-01
  0.11381E+04 0.88378E-01 0.22721E-03 0.28608E+02 0.18277E+00 0.46378E-01
  0.11390E+04 0.10097E+00 0.25764E-03 0.28182E+02 0.18518E+00 0.46642E-01
  0.11399E+04 0.11536E+00 0.29211E-03 0.27627E+02 0.18779E+00 0.46843E-01
  0.11409E+04 0.13181E+00 0.33119E-03 0.27359E+02 0.19107E+00 0.47310E-01
  0.11418E+04 0.15060E+00 0.37546E-03 0.27700E+02 0.19540E+00 0.48297E-01
  0.11427E+04 0.17207E+00 0.42564E-03 0.28709E+02 0.20091E+00 0.49887E-01
  0.11436E+04 0.19661E+00 0.48248E-03 0.30144E+02 0.20762E+00 0.51982E-01
  0.11445E+04 0.22464E+00 0.54688E-03 0.31657E+02 0.21553E+00 0.54410E-01
  0.11454E+04 0.25666E+00 0.61984E-03 0.33070E+02 0.22461E+00 0.57068E-01
  0.11463E+04 0.29324E+00 0.70251E-03 0.34524E+02 0.23473E+00 0.59997E-01
  0.11473E+04 0.33505E+00 0.79609E-03 0.36401E+02 0.24550E+00 0.63304E-01
  0.11482E+04 0.38280E+00 0.90212E-03 0.38923E+02 0.25629E+00 0.66967E-01
  0.11491E+04 0.43736E+00 0.10222E-02 0.41777E+02 0.26635E+00 0.70686E-01
  0.11500E+04 0.49970E+00 0.11582E-02 0.44059E+02 0.27537E+00 0.73952E-01
